id;location;geo_name;coordinates;wikidata;street;additional_address;geo_name_alt
515;Kaschitz;Kaštice;50.2647,13.4283;;;(Kastice);
516;Kauern;Kirche Kauern;50.844592,12.145017;;;(Thüringen);
517;Kemtau;Kemtau;50.738888888889,12.960555555556;Q1631805;;;
524;Kirch-Edlau;Kirch-Edlau;51.6775449,11.8193968;;;(pr.;Sachsen)
525;Kittlitztreben;Trzebień, Lower Silesian Voivodeship;51.38442,15.60238;Q7848970;;;
526;Kitzscher;Kitzscher;51.164444444444,12.553611111111;;;;
527;Klaffenbach;Klaffenbach;50.7611,12.9139;;;;
528;Klattau;Klatovy;49.395625338265,13.29508891337;Q602976;;(Klatovy);
529;Klein Radisch;Klein-Radisch;51.341666666667,14.645833333333;;;;
530;Kleinbobritzsch;Kleinbobritzsch;50.817183333333,13.539761111111;Q1746377;;;
531;Kleinschirma;Kleinschirma;50.906366,13.288898;Q27479035;;;
532;Kleinvoigtsberg;Kleinvoigtsberg;50.998588,13.306545;Q27479113;;;
533;Kleinwaltersdorf;Kleinwaltersdorf;50.931944444444,13.302777777778;Q1773946;;;
534;Klingenberg;Klingenberg;50.9019,13.5441;;;;
535;Klingenthal;Klingenthal;50.366944444444,12.468611111111;;;;
536;Klitten;Klitten;51.35,14.599722222222;;;;
537;Klostergrab;Hrob;50.659283194464,13.726864584511;;;(Hrob);
538;Klösterle;Klášterec nad Ohří;50.384556821405,13.171368113331;;;(KläSterec;nad
539;Komotau;Chomutov;50.462777777778,13.411111111111;Q146356;;(Chomutov);
542;Königsbrück;Königsbrück;51.26451,13.9054;;;;
543;Königshain;Königshain;51.179722222222,14.88;;;;
544;Königstein;Königstein;50.918888888889,14.071388888889;;;;
546;Königswalde;Königswalde;50.7492,12.4156;;;(b.;Werdau)
547;Könnern;Könnern;51.669722222222,11.770833333333;;;(pr.;Sachsen)
548;Koselitz;Koselitz;51.378333333333,13.426388888889;;;(Sandgrube);
549;Kossa;Kossa;51.616666666667,12.683333333333;;;;
550;Köthen;Köthen;51.7511251,11.9778964;;;;
551;Kotitz;Kotitz/Kotecy;51.18493,14.62185;;;;
552;Kratzau;Chrastava;50.81698593906,14.968948444345;Q1013885;;(Chrastava);
553;Kreiensen;Kreiensen;51.856202777777774,9.963275;;;(pr.;Westfalen)
554;Kreinitz;Kreinitz;51.37444444,13.25861111;Q22692672;;;
555;Krina;Krina;51.649722222222,12.483055555556;;;(pr.;Sachsen)
556;Kronach;Kronach;50.241111111111,11.328055555556;;;(Bayern);
557;Krostitz;Krostitz;51.46208,12.4536;;;;
558;Krummenhennersdorf;Krummenhennersdorf;50.979166666667,13.3625;Q1790176;;;
560;Kühnheide;Kühnheide;50.6191,12.8014;;;;
